date,channel,campaign_id,campaign_name,spend,impressions,clicks
2024-02-17,Google App Campaigns,goog_ac_01,Google – App Campaign NL,442.57,124112,1839
2024-02-17,Google App Campaigns,goog_ac_02,Google – App Campaign EU,399.8,107544,1472
2024-02-17,Google Brand Search,goog_brand_01,Google – Brand Search,138.97,9961,1611
2024-02-17,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,612.23,55566,2044
2024-02-17,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,669.48,233374,2591
2024-02-17,Meta,fb_prospect_02,FB – Prospecting Interest EU,622.5,203210,2646
2024-02-17,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,491.1,216131,1853
2024-02-17,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,482.63,200574,1756
2024-02-18,Google App Campaigns,goog_ac_01,Google – App Campaign NL,389.8,103541,1468
2024-02-18,Google App Campaigns,goog_ac_02,Google – App Campaign EU,445.24,117536,1880
2024-02-18,Google Brand Search,goog_brand_01,Google – Brand Search,154.53,10116,1452
2024-02-18,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,594.88,51290,1914
2024-02-18,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,667.01,238967,2767
2024-02-18,Meta,fb_prospect_02,FB – Prospecting Interest EU,610.41,202478,2278
2024-02-18,Referral,referral_mgm_01,Referral – Member Get Member,1732.39,0,0
2024-02-18,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,491.59,207809,1650
2024-02-18,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,410.35,172289,1428
2024-02-19,Google App Campaigns,goog_ac_01,Google – App Campaign NL,370.91,98451,1495
2024-02-19,Google App Campaigns,goog_ac_02,Google – App Campaign EU,379.17,103291,1565
2024-02-19,Google Brand Search,goog_brand_01,Google – Brand Search,118.18,7518,1106
2024-02-19,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,479.72,41303,1309
2024-02-19,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,550.85,191863,2283
2024-02-19,Meta,fb_prospect_02,FB – Prospecting Interest EU,533.66,167633,1855
2024-02-19,Referral,referral_mgm_01,Referral – Member Get Member,1860.8,0,0
2024-02-19,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,400.82,167873,1261
2024-02-19,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,338.6,157396,1300
2024-02-20,Google App Campaigns,goog_ac_01,Google – App Campaign NL,315.66,78654,1231
2024-02-20,Google App Campaigns,goog_ac_02,Google – App Campaign EU,353.24,89091,1336
2024-02-20,Google Brand Search,goog_brand_01,Google – Brand Search,116.57,7524,1157
2024-02-20,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,433.53,39745,1376
2024-02-20,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,532.19,185453,2298
2024-02-20,Meta,fb_prospect_02,FB – Prospecting Interest EU,513.2,179660,2011
2024-02-20,Referral,referral_mgm_01,Referral – Member Get Member,1829.85,0,0
2024-02-20,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,416.57,177260,1292
2024-02-20,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,363.85,156370,1290
2024-02-21,Google App Campaigns,goog_ac_01,Google – App Campaign NL,321.97,91388,1357
2024-02-21,Google App Campaigns,goog_ac_02,Google – App Campaign EU,331.03,85533,1302
2024-02-21,Google Brand Search,goog_brand_01,Google – Brand Search,126.32,8329,1280
2024-02-21,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,436.31,40995,1508
2024-02-21,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,495.5,177564,2248
2024-02-21,Meta,fb_prospect_02,FB – Prospecting Interest EU,552.33,182618,2091
2024-02-21,Referral,referral_mgm_01,Referral – Member Get Member,1569.74,0,0
2024-02-21,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,371.26,154117,1137
2024-02-21,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,426.57,201979,1679
2024-02-22,Google App Campaigns,goog_ac_01,Google – App Campaign NL,363.44,94542,1443
2024-02-22,Google App Campaigns,goog_ac_02,Google – App Campaign EU,315.67,90354,1350
2024-02-22,Google Brand Search,goog_brand_01,Google – Brand Search,119.73,8541,1299
2024-02-22,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,505.1,41899,1462
2024-02-22,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,503.56,158306,1748
2024-02-22,Meta,fb_prospect_02,FB – Prospecting Interest EU,536.04,169261,2203
2024-02-22,Referral,referral_mgm_01,Referral – Member Get Member,1628.8,0,0
2024-02-22,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,391.75,178285,1307
2024-02-22,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,376.24,154953,1237
2024-02-23,Google App Campaigns,goog_ac_01,Google – App Campaign NL,405.34,110847,1737
2024-02-23,Google App Campaigns,goog_ac_02,Google – App Campaign EU,455.38,113812,1849
2024-02-23,Google Brand Search,goog_brand_01,Google – Brand Search,139.54,9792,1558
2024-02-23,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,530.85,43693,1545
2024-02-23,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,679.34,240799,2681
2024-02-23,Meta,fb_prospect_02,FB – Prospecting Interest EU,638.17,199400,2474
2024-02-23,Referral,referral_mgm_01,Referral – Member Get Member,1683.25,0,0
2024-02-23,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,457.87,195909,1514
2024-02-23,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,463.09,203805,1474
2024-02-24,Google App Campaigns,goog_ac_01,Google – App Campaign NL,467.92,132632,1996
2024-02-24,Google App Campaigns,goog_ac_02,Google – App Campaign EU,408.9,113784,1761
2024-02-24,Google Brand Search,goog_brand_01,Google – Brand Search,135.79,9684,1376
2024-02-24,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,550.39,45748,1680
2024-02-24,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,579.29,179035,2120
2024-02-24,Meta,fb_prospect_02,FB – Prospecting Interest EU,704.45,249531,3142
2024-02-24,Referral,referral_mgm_01,Referral – Member Get Member,1230.17,0,0
2024-02-24,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,440.58,210002,1609
2024-02-24,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,462.47,197516,1717
2024-02-25,Google App Campaigns,goog_ac_01,Google – App Campaign NL,377.89,96411,1339
2024-02-25,Google App Campaigns,goog_ac_02,Google – App Campaign EU,446.04,111747,1678
2024-02-25,Google Brand Search,goog_brand_01,Google – Brand Search,154.51,10654,1674
2024-02-25,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,594.06,53490,1759
2024-02-25,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,584.1,188791,2390
2024-02-25,Meta,fb_prospect_02,FB – Prospecting Interest EU,701.34,233807,2605
2024-02-25,Referral,referral_mgm_01,Referral – Member Get Member,1564.11,0,0
2024-02-25,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,419.08,196124,1459
2024-02-25,TikTok,tiktok_upper_02,TikTok – Brand Awareness EU,425.33,192040,1651
2024-02-26,Google App Campaigns,goog_ac_01,Google – App Campaign NL,367.96,91934,1279
2024-02-26,Google App Campaigns,goog_ac_02,Google – App Campaign EU,349.58,100175,1530
2024-02-26,Google Brand Search,goog_brand_01,Google – Brand Search,128.2,7886,1089
2024-02-26,Google Non-Brand Search,goog_search_01,Google – Non-Brand Search NL,522.16,48674,1691
2024-02-26,Meta,fb_prospect_01,FB – Prospecting Lookalike NL,545.52,195096,2241
2024-02-26,Meta,fb_prospect_02,FB – Prospecting Interest EU,578.53,178182,2161
2024-02-26,Referral,referral_mgm_01,Referral – Member Get Member,1338.99,0,0
2024-02-26,TikTok,tiktok_upper_01,TikTok – Brand Awareness NL,350.0,146190,1268
