postback_date,network,campaign_id,skan_conversion_value,install_count
2024-02-18,Meta,fb_prospect_01,0.0,6
2024-02-18,Meta,fb_prospect_01,5.0,4
2024-02-18,Meta,fb_prospect_01,10.0,8
2024-02-18,Meta,fb_prospect_01,20.0,2
2024-02-18,Meta,fb_prospect_02,0.0,7
2024-02-18,Meta,fb_prospect_02,5.0,1
2024-02-18,Meta,fb_prospect_02,10.0,5
2024-02-18,Meta,fb_prospect_02,20.0,1
2024-02-18,Meta,fb_prospect_02,40.0,1
2024-02-18,Meta,fb_prospect_02,63.0,1
2024-02-18,Google App Campaigns,goog_ac_01,0.0,3
2024-02-18,Google App Campaigns,goog_ac_01,5.0,3
2024-02-18,Google App Campaigns,goog_ac_01,10.0,2
2024-02-18,Google App Campaigns,goog_ac_01,20.0,2
2024-02-18,Google App Campaigns,goog_ac_02,0.0,4
2024-02-18,Google App Campaigns,goog_ac_02,5.0,1
2024-02-18,Google App Campaigns,goog_ac_02,10.0,4
2024-02-18,Google App Campaigns,goog_ac_02,20.0,1
2024-02-18,Google App Campaigns,goog_ac_02,40.0,1
2024-02-18,Google Brand Search,goog_brand_01,0.0,5
2024-02-18,Google Brand Search,goog_brand_01,5.0,2
2024-02-18,Google Brand Search,goog_brand_01,10.0,7
2024-02-18,Google Brand Search,goog_brand_01,20.0,2
2024-02-18,Google Brand Search,goog_brand_01,40.0,2
2024-02-18,Google Brand Search,goog_brand_01,63.0,1
2024-02-18,Google Non-Brand Search,goog_search_01,0.0,3
2024-02-18,Google Non-Brand Search,goog_search_01,5.0,3
2024-02-18,Google Non-Brand Search,goog_search_01,10.0,2
2024-02-18,Google Non-Brand Search,goog_search_01,20.0,5
2024-02-18,TikTok,tiktok_upper_01,0.0,4
2024-02-18,TikTok,tiktok_upper_01,5.0,5
2024-02-18,TikTok,tiktok_upper_01,20.0,1
2024-02-18,TikTok,tiktok_upper_01,40.0,1
2024-02-18,TikTok,tiktok_upper_02,,7
2024-02-19,Meta,fb_prospect_01,0.0,8
2024-02-19,Meta,fb_prospect_01,5.0,6
2024-02-19,Meta,fb_prospect_01,10.0,1
2024-02-19,Meta,fb_prospect_01,63.0,1
2024-02-19,Meta,fb_prospect_02,0.0,3
2024-02-19,Meta,fb_prospect_02,5.0,9
2024-02-19,Meta,fb_prospect_02,10.0,4
2024-02-19,Meta,fb_prospect_02,20.0,2
2024-02-19,Google App Campaigns,goog_ac_01,,6
2024-02-19,Google App Campaigns,goog_ac_02,,9
2024-02-19,Google Brand Search,goog_brand_01,0.0,6
2024-02-19,Google Brand Search,goog_brand_01,5.0,2
2024-02-19,Google Brand Search,goog_brand_01,10.0,6
2024-02-19,Google Brand Search,goog_brand_01,20.0,2
2024-02-19,Google Brand Search,goog_brand_01,63.0,3
2024-02-19,Google Non-Brand Search,goog_search_01,0.0,5
2024-02-19,Google Non-Brand Search,goog_search_01,5.0,3
2024-02-19,Google Non-Brand Search,goog_search_01,10.0,3
2024-02-19,Google Non-Brand Search,goog_search_01,20.0,4
2024-02-19,Google Non-Brand Search,goog_search_01,40.0,2
2024-02-19,Google Non-Brand Search,goog_search_01,63.0,1
2024-02-19,TikTok,tiktok_upper_01,0.0,4
2024-02-19,TikTok,tiktok_upper_01,5.0,4
2024-02-19,TikTok,tiktok_upper_01,10.0,2
2024-02-19,TikTok,tiktok_upper_01,20.0,1
2024-02-19,TikTok,tiktok_upper_02,,8
2024-02-20,Meta,fb_prospect_01,0.0,6
2024-02-20,Meta,fb_prospect_01,5.0,4
